18788	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01335.1680033600-1685588400.524-270:LOC
18827	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19023	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19098	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19124	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19127	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19527	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19609	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01173.1684941060-1684958400.148-190:LOC
19784	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01807.1683686040-1685082840.N66-67:LOC
19826	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01114.1683554400-1690772400.82-69:LOC
19866	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01167.1683694800-1688785200.141-264:LOC
19887	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01131.1684087200-1696129200.102-392:LOC
19889	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01131.1684087200-1696129200.102-392:LOC
19896	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01131.1684087200-1696129200.102-392:LOC
19898	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01131.1684087200-1696129200.102-392:LOC
20003	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02205.1684094400-1704079800.98-227:LOC
20004	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01127.1684304760-1685122200.96-399:LOC
20099	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01095.1684936560-1684951200.58-386:LOC
20100	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01073.1684126800-1690601400.21-375:LOC
20100	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01077.1684835880-1690601400.27-273:LOC
20102	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C02205.1684094400-1704079800.98-227:LOC
20123	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01084.1684566240-1687230000.39-162:LOC
20123	RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01127.1684304760-1685122200.96-399:LOC
