RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01194.1683658860-1689994800.173-333:LOC	\N	La ligne 173 est déviée : les arrêts situés entre Danielle Casanova - Pont Blanc et Schaeffer ne sont plus desservis en direction de Porte de Clichy <RER>. Reprise estimée : samedi 22 juillet 2023, à partir de 03h00. Raison : travaux.	2023-05-23 11:26:07	2023-07-22 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01195.1684829880-1685156400.174-288:LOC	\N	La ligne 174 est déviée : les arrêts situés entre Jaurès - Barbusse et Trézel ne sont plus desservis en direction de La Défense. Reprise estimée : samedi 27 mai 2023, à partir de 03h00. Raison : travaux.	2023-05-23 14:09:06	2023-05-27 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01225.1682595060-1685122200.211-288:LOC	\N	La ligne 211 est déviée : les arrêts situés entre Noisiel RER et Lognes RER ne sont plus desservis en direction de Torcy <RER>. Reprise estimée : vendredi 26 mai 2023, à partir de 17h30. Raison : travaux.	2023-05-21 17:55:07	2023-05-26 15:30:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01254.1682428200-1686627000.272-171:LOC	\N	La ligne 272 est déviée : les arrêts situés entre Gare de Sartrouville-RER et Picardie ne sont plus desservis en direction de Gare d'Argenteuil. Reprise estimée : mardi 13 juin 2023, à partir de 03h30. Raison : travaux.	2023-05-10 16:44:04	2023-06-13 01:30:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01254.1684836840-1685660400.272-171:LOC	\N	La ligne 272 est déviée : les arrêts situés entre Gare de Sartrouville-RER et Picardie ne sont plus desservis en direction de Gare d'Argenteuil. Reprise estimée : jeudi 1 juin 2023, à partir de 23h00. Raison : travaux.	2023-05-23 08:16:08	2023-06-01 21:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01288.1682719200-1697857200.325-55:LOC	\N	La ligne 325 est déviée : les arrêts situés entre Saint-Mandé - Tourelle et Caserne des Gardes ne sont plus desservis en direction de Quai de la Gare. Reprise estimée : samedi 21 octobre 2023, à partir de 03h00. Raison : travaux.	2023-05-21 08:07:05	2023-10-21 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01304.1684774800-1685066400.360-289:LOC	\N	La ligne 360 est déviée : les arrêts situés entre Sylvain Vigneras et Cimetière de Saint-Cloud ne sont plus desservis en direction de La Défense. Reprise estimée : vendredi 26 mai 2023, à partir de 02h00. Raison : travaux.	2023-05-22 15:37:05	2023-05-26 00:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01306.1681362000-1685761200.366-319:LOC	\N	La ligne 366 est déviée : les arrêts situés entre Henri Robert et Debussy - Chandon ne sont plus desservis en direction de Asnières Bords de Seine. Reprise estimée : samedi 3 juin 2023, à partir de 03h00. Raison : travaux.	2023-05-22 08:57:07	2023-06-03 01:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01308.1684925460-1684951200.368-150:LOC	\N	La ligne 368 est déviée : les arrêts situés entre Place du Souvenir Français et Place de Verdun ne sont plus desservis en direction de Garges – Sarcelles <RER>. Reprise estimée : 18h00. Raison : travaux.	2023-05-24 09:57:08	2023-05-24 16:00:00
RATP-SIV:InfoMessage::MSG.SAE-BUS.IDFM.C01315.1682312400-1686110400.389-39:LOC	\N	La ligne 389 est déviée : les arrêts situés entre Île Saint-Germain et Gardes - Vaugirard ne sont plus desservis en direction de Clamart – Georges Pompidou. Reprise estimée : mercredi 7 juin 2023, à partir de 04h00. Raison : travaux.	2023-05-17 17:32:06	2023-06-07 02:00:00
