ZdAId	ZdAName	ZdATown	ZdAPostalRegion
45631	Henri Chevreau	Paris 20e	75120
45621	Porte Brunet	Paris 19e	75119
45623	Porte Chaumont	Paris 19e	75119
45614	Piscine Des Tourelles	Paris 20e	75120
44375	Place de l'Abbé Georges Hénocque	Paris 13e	75113
474346	Place d'Italie - Choisy	Paris 13e	75113
43003	Folie Regnault - Chemin Vert	Paris 11e	75111
474356	Place d'Italie - Bobillot	Paris 13e	75113
45660	Hilsz - Lagny	Paris 20e	75120
45658	Square Sarah Bernhardt	Paris 20e	75120
45648	Orteaux - Vitruve	Paris 20e	75120
463347	Argentine	Paris 16e	75116
44661	Mairie Du XVIIe	Paris 17e	75117
42277	Balard - Lecourbe	Paris 15e	75115
43671	Leblanc - Delbarre	Paris 15e	75115
42421	Cambronne - Vaugirard	Paris 15e	75115
42561	Charonne - Bagnolet	Paris 11e	75111
462826	Brancion	Paris 15e	75115
473625	Maison Blanche	Paris 13e	75113
480365	Denfert-Rochereau - Saint-Jacques	Paris 14e	75114
470523	Goncourt	Paris 10e	75110
427362	Cluny	Paris 5e	75105
45112	Assas - Duguay Trouin	Paris 6e	75106
45014	Victoires	Paris 1er	75101
45153	Balzac	Paris 8e	75108
45137	Vaneau - Babylone	Paris 7e	75107
45123	Monttessuy	Paris 7e	75107
45124	RAPP - La Bourdonnais	Paris 7e	75107
463715	Musée et Institut Curie	Paris 5e	75105
58568	Gluck - Haussmann	Paris 9e	75109
463874	Chaussée d'Antin	Paris 9e	75109
44206	Notre-Dame - Quai de Montebello	Paris 5e	75105
45673	Mairie du 2ème	Paris 2e	75102
45668	Quai François Mitterrand	Paris 1er	75101
45868	Petit Pont	Paris 5e	75105
42432	Capucines - Caumartin	Paris 9e	75109
473743	Saint-Philippe-du-Roule	Paris 8e	75108
478398	Eglise Saint-Martin	Cormeilles-en-Parisis	95176
42442	Carrefour Cateline	Moret Loing et Orvanne	77316
47132	Moulin de Nanchon	Vernou-la-Celle-sur-Seine	77494
47661	Paul Jozon	Fontainebleau	77186
420109	Saint-Nicolas	Gometz-le-Châtel	91275
45031	Vieux Moulin	Chelles	77108
53449	Ormeau Salle des Fêtes	Combs-la-Ville	77122
53645	Près de Mours	Mours	95436
48972	Avenue de la Libération	Herblay	95306
48996	La Plaine	Cormeilles-en-Parisis	95176
58131	Victor Hugo	Montigny-lès-Cormeilles	95424
48920	Résidence du Stade	Beauchamp	95051
49061	Joffre - Platrière	Herblay	95306
49060	Clemenceau	Herblay	95306
